id,capability,question,image,num_images,gold_answer,normal_answer,text_only_answer,wrong_image_answer,blank_image_answer,normal_f1,text_only_f1,wrong_image_f1,blank_image_f1,control_max_f1,visual_dependency_gap,primary_error_type,secondary_flags,recommendation,category,subcategory,source,reviewer_note
lingoqa_eval_000065,other,What should you pay attention to in this scenario?,data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/0.jpg,5,Should pay attention to the state of the lights as they are red so we must stop.,pay attention to other vehicles and pedestrians,pay attention to other vehicles,pay attention to pedestrians and traffic lights,pay attention to other vehicles,0.25,0.2727,0.3333,0.2727,0.3333,-0.0833,wrong_image_confound,wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,other,lingoqa,
lingoqa_eval_000066,reasoning_world_knowledge,Is it safe for you to move forward? Why or why not?,data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/0.jpg,5,"Yes with caution, pedestrians may not be crossing at the zebra crossing.",it is safe to move forward,It is not safe to move forward.,no,It is not safe to move forward.,0.0,0.1053,0.0,0.1053,0.1053,-0.1053,all_settings_failed,reasoning_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000067,spatial_localization,Is it safe to overtake the bus?,data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg,5,No.,no,no,yes,no,1.0,1.0,0.0,1.0,1.0,0.0,language_prior_or_question_bias,text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000068,counting,How many cyclists are there?,data/external/lingoqa/images/val/23528c8f688e6b12a1cbc084d4962ef0/0.jpg,5,"1, in the left lane.",There are two cyclists in the image.,0,0,0,0.3333,0.0,0.0,0.0,0.0,0.3333,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,counting,lingoqa,
lingoqa_eval_000069,object_recognition,"Are there any traffic lights in the vicinity? If yes, what colors are they displaying?",data/external/lingoqa/images/val/b5e17d77ec428f982132bf4a2badac0e/0.jpg,5,"Yes, they are green.",yes,no,yes,no,0.4,0.0,0.4,0.0,0.4,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000070,other,Are there pedestrians crossing the road?,data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/0.jpg,5,Yes.,no,no,no,no,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,other,lingoqa,
lingoqa_eval_000071,reasoning_world_knowledge,What action will you take next and why?,data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg,5,I will accelerate and follow the cyclist once they pull away.,slow down and prepare to stop,wait for the driver to enter the vehicle,wait for the pedestrian to cross the street,wait for the front car to move,0.1176,0.1053,0.1053,0.1111,0.1111,0.0065,all_settings_failed,reasoning_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000072,spatial_localization,"Is it possible for you to accelerate in this situation, and if so, why?",data/external/lingoqa/images/val/cc0f48b73f7f13adff2113931a41805e/0.jpg,5,It is not possible to accelerate as there are pedestrians crossing the road.,yes,"yes, it is possible to accelerate.",yes,no,0.0,0.5263,0.0,0.0,0.5263,-0.5263,language_prior_or_question_bias,spatial_failure;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000073,counting,How many cyclists are there?,data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/0.jpg,5,There are 3 cyclists.,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000074,object_recognition,What color are the traffic lights?,data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/0.jpg,5,I don't see any traffic lights in my vicinity.,green,red,red,red,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,object_recognition_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000075,other,How is the car impacting your driving?,data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/0.jpg,5,The car is not impacting my driving as I need to stop for the red light.,the car is stationary,the car is not impacting your driving as it is stationary with no visible speed or gear information.,the car is not impacting my driving,the car is not impacting the driving,0.3,0.4118,0.6087,0.6087,0.6087,-0.3087,wrong_image_confound,wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,other,lingoqa,
lingoqa_eval_000076,reasoning_world_knowledge,Why can you start in this instance?,data/external/lingoqa/images/val/5c95f9353d8c4c8a3b111fc91c8b9c2b/0.jpg,5,Because the light turns green.,the traffic light is green,the vehicle is stationary and the driver has unlocked the door.,I can start because there are no cars ahead.,the vehicle is stationary,0.6,0.125,0.1429,0.2222,0.2222,0.3778,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000077,spatial_localization,"What factors influence the adjustment of your speed, and why is it important to do so?",data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/0.jpg,5,I must adjust my speed according to the distance with the car in front and the speed limits.,"the speed is adjusted based on traffic conditions, road signs, and personal driving preferences.","factors influencing speed adjustment include weather conditions, distance to front car, gear, and time. It's important to adjust speed to ensure safety and efficiency while driving.","the speed of the front car, the road conditions, and traffic density","factors such as road conditions, traffic, weather, and safety regulations can influence the adjustment of speed.",0.1875,0.3636,0.4667,0.1765,0.4667,-0.2792,wrong_image_confound,spatial_failure;wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000078,counting,How many parked vehicles can you see on this street?,data/external/lingoqa/images/val/6fcc62c8231450608cddba5a8e4193cd/0.jpg,5,"Zero parked vehicles, but many stationary.",12,0,There are three parked vehicles on this street.,0,0.0,0.0,0.2857,0.0,0.2857,-0.2857,wrong_image_confound,counting_failure;wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,counting,lingoqa,
lingoqa_eval_000079,object_recognition,"Can you spot a traffic light? If yes, what color is being shown?",data/external/lingoqa/images/val/852232e46c71d346dcb9f223647c0970/0.jpg,5,Yes. The traffic light is green.,yes,no,no,no,0.2857,0.0,0.0,0.0,0.0,0.2857,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000080,other,"Is there any traffic in your lane? If there is, what types of vehicles are present?",data/external/lingoqa/images/val/8127f3b506fa0146a795f0085bb60cd3/0.jpg,5,There is no traffic in my lane.,no,no,yes,no,0.25,0.25,0.0,0.25,0.25,0.0,language_prior_or_question_bias,text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,other,lingoqa,
lingoqa_eval_000081,reasoning_world_knowledge,Why are you stopping in this situation?,data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/0.jpg,5,Light has turned red.,I am stopping because I need to wait for the traffic light to change.,the driver is stopping due to a risk of collision with the front car,the traffic light is red,I am stopping because I need to check something.,0.1111,0.0,0.4444,0.0,0.4444,-0.3333,wrong_image_confound,reasoning_failure;wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000082,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/0.jpg,5,"Starting from a stop, the light is changing from red+yellow to green, there are no vehicles in front and a pedestrian finished the crossing.",stop,stop,stop,stop,0.08,0.08,0.08,0.08,0.08,0.0,all_settings_failed,spatial_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000083,counting,How many cars are parked on the left side of the road?,data/external/lingoqa/images/val/a92897f3de30fa1578ddf84dbf708ebe/0.jpg,5,None.,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000084,object_recognition,"Are there any traffic lights present at this intersection? If so, what is the color displayed?",data/external/lingoqa/images/val/5b79a31f791f6b5f575122a6ddcb6e7e/0.jpg,5,There are traffic lights and they are switching from red and amber to green.,yes,no traffic lights detected,yes,no,0.0,0.2222,0.0,0.0,0.2222,-0.2222,language_prior_or_question_bias,object_recognition_failure;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000085,other,Should you yield to any vehicle when going straight at this intersection?,data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/0.jpg,5,No.,no,no,no,no,1.0,1.0,1.0,1.0,1.0,0.0,language_prior_or_question_bias,wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,other,lingoqa,
lingoqa_eval_000086,reasoning_world_knowledge,Why can you start at this time?,data/external/lingoqa/images/val/0ad3c6571f5aff651d43b4014b693e94/0.jpg,5,I can start because the pedestrian has finished crossing.,I am driving through a city street with pedestrians crossing the road.,unknown,I am driving through a city street with traffic lights and pedestrians visible.,unknown,0.2857,0.0,0.0909,0.0,0.0909,0.1948,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000087,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/78bda9041fc31a77da224df63f6b8cd0/0.jpg,5,"Slowing down in our rightmost lane, the traffic light is green, we are entering a ""right turn-only"" lane and will need to wait for the traffic to make the planned right turn.",stop,stop,the bus is red.,stop,0.0,0.0,0.1111,0.0,0.1111,-0.1111,all_settings_failed,spatial_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000088,counting,How many motorcyclists can you see?,data/external/lingoqa/images/val/788192e7d185b1f0071c0a096f17ff19/0.jpg,5,I can see two motorcyclists.,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000089,object_recognition,"Is there a traffic signal present? If there is, what color is being exhibited?",data/external/lingoqa/images/val/e2f2517cb762eb532be383cae04d652a/0.jpg,5,"Yes, it is red as the vehicles ahead are stopped.",yes,no,yes,no,0.1818,0.0,0.1818,0.0,0.1818,0.0,all_settings_failed,object_recognition_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000090,other,What is the road speed limit?,data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/0.jpg,5,"20, according to the lane markings.",20,unknown,20,unknown,0.2857,0.0,0.2857,0.0,0.2857,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,other,lingoqa,
lingoqa_eval_000091,spatial_localization,Are you permitted to make a right turn at this specific location?,data/external/lingoqa/images/val/69de30a10f550407d84c778f9ae9570c/0.jpg,5,No.,no,yes,no,no,1.0,0.0,1.0,1.0,1.0,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000092,counting,How many parked cars can you spot on the left?,data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg,5,1,2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000093,object_recognition,"Are there any traffic lights present? If yes, what color are they displaying?",data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/0.jpg,5,"Yes, green.",yes,no,yes,no,0.6667,0.0,0.6667,0.0,0.6667,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000094,other,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/0.jpg,5,"The car remains stopped and then accelerate slightly, as the traffic light turns green but pedestrians finish crossing the road at the pedestrian crossing.",stop,stop,the traffic light is green,stop,0.0,0.0,0.2759,0.0,0.2759,-0.2759,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,other,lingoqa,
lingoqa_eval_000095,spatial_localization,Are there any cyclists in this image?,data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg,5,"Yes, there are 2 cyclists in the left lane.",yes,no,no,no,0.2,0.0,0.0,0.0,0.0,0.2,visual_helped,spatial_failure,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000096,counting,How many pedestrians are crossing the road?,data/external/lingoqa/images/val/3f3bfab70356daed6fa27f0f11cc35dc/0.jpg,5,Zero pedestrians.,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000097,object_recognition,What is the color of the traffic lights at this intersection?,data/external/lingoqa/images/val/45b587bf54ee9db25085eb483cac242e/0.jpg,5,No traffic light.,red,red,red,red,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,object_recognition_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000098,other,Can you spot any emergency vehicles in this image?,data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/0.jpg,5,No.,no,no,no,no,1.0,1.0,1.0,1.0,1.0,0.0,language_prior_or_question_bias,wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,other,lingoqa,
lingoqa_eval_000099,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg,5,"The car starts, as the cyclist and the bus in front are pulling away.",bicyclist riding behind a red double-decker bus.,stop,the car is driving on the road.,stop,0.0952,0.0,0.2857,0.0,0.2857,-0.1905,wrong_image_confound,spatial_failure;wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000100,counting,How many cyclists are there? In which direction are they driving?,data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/0.jpg,5,"2. There is a cyclist in front of me moving in the same lane and changing to the left bike lane, also there is a cyclist on the opposite side of road moving in the opposite direction.",There are two cyclists. One is riding towards the camera and the other is riding away from the camera.,There are no cyclists.,There are no cyclists in the image.,There are no cyclists.,0.25,0.0488,0.1364,0.0488,0.1364,0.1136,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,counting,lingoqa,
