id,eval_case_id,source_status,candidate_type,capability,sft_v1_role,sft_v1_action,ordinary_sft_eligible,preferred_objective,manual_rewrite_required,final_decision,final_answer,final_reason,review_note,priority_bucket,visual_dependency_gap,normal_f1,control_max_f1,question,image,image_paths
lingoqa_eval_000064_positive_grounding,lingoqa_eval_000064,v0_keep_rewritten,positive_grounding,object_recognition,positive_visual_grounding,keep,true,normal_vqa_sft,true,keep_sft_v1,The traffic light is green.,"The signal visible ahead for the ego path is green across the reviewed frames, supporting a green-light answer from the current image evidence.",Manual image review accepted with grounded rewrite.,,1.0,1.0,,What is the color of traffic lights at this intersection?,data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/0.jpg,"[""data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/0.jpg"", ""data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/1.jpg"", ""data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/2.jpg"", ""data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/3.jpg"", ""data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/4.jpg""]"
lingoqa_eval_000069_wrong_image_confound,lingoqa_eval_000069,v0_keep_anti_capped_rewritten,wrong_image_confound,object_recognition,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,"Yes, the visible traffic lights are green.","The ego-facing signal at the junction is green, so the color answer should be tied to the visible signal rather than a prior.",Kept as capped anti-hallucination visual-evidence sample.,,0.0,0.4,,"Are there any traffic lights in the vicinity? If yes, what colors are they displaying?",data/external/lingoqa/images/val/b5e17d77ec428f982132bf4a2badac0e/0.jpg,"[""data/external/lingoqa/images/val/b5e17d77ec428f982132bf4a2badac0e/0.jpg"", ""data/external/lingoqa/images/val/b5e17d77ec428f982132bf4a2badac0e/1.jpg"", ""data/external/lingoqa/images/val/b5e17d77ec428f982132bf4a2badac0e/2.jpg"", ""data/external/lingoqa/images/val/b5e17d77ec428f982132bf4a2badac0e/3.jpg"", ""data/external/lingoqa/images/val/b5e17d77ec428f982132bf4a2badac0e/4.jpg""]"
lingoqa_eval_000070_positive_grounding,lingoqa_eval_000070,v0_keep_rewritten,positive_grounding,other,positive_visual_grounding,keep,true,normal_vqa_sft,true,keep_sft_v1,"Yes, pedestrians are crossing the road.","Pedestrians are visible on and near the zebra crossing ahead of the ego vehicle, so the answer is grounded in their position across the road.",Manual image review accepted with grounded rewrite.,,1.0,1.0,,Are there pedestrians crossing the road?,data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/0.jpg,"[""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/0.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/1.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/2.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/3.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/4.jpg""]"
lingoqa_eval_000085_wrong_image_confound,lingoqa_eval_000085,v0_fix_rewritten,wrong_image_confound,other,high_quality_fix_rewritten,fix,true,normal_vqa_sft,true,keep_sft_v1,"No, there is no visible vehicle that the ego vehicle must yield to when going straight.",The ego-facing signal is green and the visible vehicles are not crossing into the ego lane. The appropriate action is to continue straight with normal caution for the junction and any pedestrians near the crossing.,Rewrote terse negative answer with signal ownership and ego-path evidence.,,0.0,1.0,,Should you yield to any vehicle when going straight at this intersection?,data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/0.jpg,"[""data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/0.jpg"", ""data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/1.jpg"", ""data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/2.jpg"", ""data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/3.jpg"", ""data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/4.jpg""]"
lingoqa_eval_000089_wrong_image_confound,lingoqa_eval_000089,v0_drop,wrong_image_confound,object_recognition,exclude,drop,false,none,false,drop_sft_v1,,,"A red traffic signal is not clearly supported, and vehicles ahead do not clearly appear stopped for red. Gold conflicts with visible evidence.",,0.0,0.3077,,"Is there a traffic signal present? If there is, what color is being exhibited?",data/external/lingoqa/images/val/e2f2517cb762eb532be383cae04d652a/0.jpg,"[""data/external/lingoqa/images/val/e2f2517cb762eb532be383cae04d652a/0.jpg"", ""data/external/lingoqa/images/val/e2f2517cb762eb532be383cae04d652a/1.jpg"", ""data/external/lingoqa/images/val/e2f2517cb762eb532be383cae04d652a/2.jpg"", ""data/external/lingoqa/images/val/e2f2517cb762eb532be383cae04d652a/3.jpg"", ""data/external/lingoqa/images/val/e2f2517cb762eb532be383cae04d652a/4.jpg""]"
lingoqa_eval_000090_wrong_image_confound,lingoqa_eval_000090,v0_keep_anti_capped_rewritten,wrong_image_confound,other,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,The road speed limit is 20.,"A 20 mph marking is painted in the ego lane, providing direct visual evidence for the speed limit.",Kept as capped anti-hallucination visual-evidence sample.,,0.0,0.2857,,What is the road speed limit?,data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/0.jpg,"[""data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/0.jpg"", ""data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/1.jpg"", ""data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/2.jpg"", ""data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/3.jpg"", ""data/external/lingoqa/images/val/a1109658670fb29d13ac113d322c004c/4.jpg""]"
lingoqa_eval_000091_wrong_image_confound,lingoqa_eval_000091,v0_drop,wrong_image_confound,spatial_localization,exclude,drop,false,none,false,drop_sft_v1,,,No clear no-right-turn sign or lane rule is visible. The No answer lacks sufficient image evidence.,,0.0,1.0,,Are you permitted to make a right turn at this specific location?,data/external/lingoqa/images/val/69de30a10f550407d84c778f9ae9570c/0.jpg,"[""data/external/lingoqa/images/val/69de30a10f550407d84c778f9ae9570c/0.jpg"", ""data/external/lingoqa/images/val/69de30a10f550407d84c778f9ae9570c/1.jpg"", ""data/external/lingoqa/images/val/69de30a10f550407d84c778f9ae9570c/2.jpg"", ""data/external/lingoqa/images/val/69de30a10f550407d84c778f9ae9570c/3.jpg"", ""data/external/lingoqa/images/val/69de30a10f550407d84c778f9ae9570c/4.jpg""]"
lingoqa_eval_000092_positive_grounding,lingoqa_eval_000092,v0_keep_rewritten,positive_grounding,counting,positive_visual_grounding,keep,true,normal_vqa_sft,true,keep_sft_v1,There is one parked car on the left.,A dark parked vehicle is visible along the left curb beside the ego lane; the count is one for the parked car on that side.,Manual image review accepted with grounded rewrite.,,1.0,1.0,,How many parked cars can you spot on the left?,data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg,"[""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/1.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/2.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/3.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/4.jpg""]"
lingoqa_eval_000093_wrong_image_confound,lingoqa_eval_000093,v0_keep,wrong_image_confound,object_recognition,anti_hallucination_counterfactual,keep,false,preference_or_rejection_later,false,keep_preference_later,,,Wrong-image confound not selected for ordinary SFT cap; better reserved for preference/rejection data.,,0.0,0.4,,"Are there any traffic lights present? If yes, what color are they displaying?",data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/0.jpg,"[""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/0.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/1.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/2.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/3.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/4.jpg""]"
lingoqa_eval_000095_wrong_image_confound,lingoqa_eval_000095,v0_drop,wrong_image_confound,spatial_localization,exclude,drop,false,none,false,drop_sft_v1,,,"Cyclists are present, but the count of two and the left-lane relation are not clear enough for training.",,0.0,0.2,,Are there any cyclists in this image?,data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg,"[""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/1.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/2.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/3.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/4.jpg""]"
lingoqa_eval_000098_wrong_image_confound,lingoqa_eval_000098,v0_keep_anti_capped_rewritten,wrong_image_confound,other,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,No emergency vehicles are visible.,"The frames show ordinary road traffic and parked vehicles, but no ambulance, police, or fire vehicle is visible.",Kept as capped anti-hallucination visual-evidence sample.,,0.0,1.0,,Can you spot any emergency vehicles in this image?,data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/0.jpg,"[""data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/0.jpg"", ""data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/1.jpg"", ""data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/2.jpg"", ""data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/3.jpg"", ""data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/4.jpg""]"
lingoqa_eval_000030_language_prior_confound,lingoqa_eval_000030,v0_drop,language_prior_confound,other,exclude,drop,false,none,false,drop_sft_v1,,,"The answer is generic speed-limit advice and depends on current speed, which is not visually available. Language-prior value is too high.",,-0.2356,0.0769,,Do you need to speed up? State the reason for your answer.,data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/0.jpg,"[""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/0.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/1.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/2.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/3.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/4.jpg""]"
lingoqa_eval_000019_language_prior_confound,lingoqa_eval_000019,v0_drop,language_prior_confound,object_recognition,exclude,drop,false,none,false,drop_sft_v1,,,"The visible amber devices are pedestrian-crossing beacons, not clearly standard intersection traffic lights. The question and answer are ambiguous.",,-0.2098,0.1538,,"Are there any traffic lights present at this intersection? If so, what is the color displayed?",data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/0.jpg,"[""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/0.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/1.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/2.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/3.jpg"", ""data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/4.jpg""]"
lingoqa_eval_000015_language_prior_confound,lingoqa_eval_000015,unreviewed,language_prior_confound,other,exclude,unreviewed,false,none,false,drop_sft_v1,,,Dropped by conservative v1 policy.,,-0.2,0.0,,Can you spot any traffic sign? What do they indicate?,data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/0.jpg,"[""data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/0.jpg"", ""data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/1.jpg"", ""data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/2.jpg"", ""data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/3.jpg"", ""data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/4.jpg""]"
lingoqa_eval_000084_language_prior_confound,lingoqa_eval_000084,unreviewed,language_prior_confound,object_recognition,exclude,unreviewed,false,none,false,drop_sft_v1,,,Dropped by conservative v1 policy.,,-0.1046,0.1176,,"Are there any traffic lights present at this intersection? If so, what is the color displayed?",data/external/lingoqa/images/val/5b79a31f791f6b5f575122a6ddcb6e7e/0.jpg,"[""data/external/lingoqa/images/val/5b79a31f791f6b5f575122a6ddcb6e7e/0.jpg"", ""data/external/lingoqa/images/val/5b79a31f791f6b5f575122a6ddcb6e7e/1.jpg"", ""data/external/lingoqa/images/val/5b79a31f791f6b5f575122a6ddcb6e7e/2.jpg"", ""data/external/lingoqa/images/val/5b79a31f791f6b5f575122a6ddcb6e7e/3.jpg"", ""data/external/lingoqa/images/val/5b79a31f791f6b5f575122a6ddcb6e7e/4.jpg""]"
lingoqa_eval_000003_positive_grounding,lingoqa_eval_000003,unreviewed,positive_grounding,other,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.6667,1.0,,Can you spot any pedestrians crossing the road?,data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/0.jpg,"[""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/0.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/1.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/2.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/3.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/4.jpg""]"
lingoqa_eval_000029_positive_grounding,lingoqa_eval_000029,unreviewed,positive_grounding,object_recognition,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.8,0.8,,"Are there any traffic lights present? If yes, what is the color of the lights?",data/external/lingoqa/images/val/a51fb9e029890062f7c86d581cbd96a2/0.jpg,"[""data/external/lingoqa/images/val/a51fb9e029890062f7c86d581cbd96a2/0.jpg"", ""data/external/lingoqa/images/val/a51fb9e029890062f7c86d581cbd96a2/1.jpg"", ""data/external/lingoqa/images/val/a51fb9e029890062f7c86d581cbd96a2/2.jpg"", ""data/external/lingoqa/images/val/a51fb9e029890062f7c86d581cbd96a2/3.jpg"", ""data/external/lingoqa/images/val/a51fb9e029890062f7c86d581cbd96a2/4.jpg""]"
lingoqa_eval_000067_language_prior_confound,lingoqa_eval_000067,unreviewed,language_prior_confound,spatial_localization,exclude,unreviewed,false,none,false,drop_sft_v1,,,Dropped by conservative v1 policy.,,0.0,1.0,,Is it safe to overtake the bus?,data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg,"[""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/0.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/1.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/2.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/3.jpg"", ""data/external/lingoqa/images/val/ddabf1e10d3aa1c5eeee62063fccf692/4.jpg""]"
lingoqa_eval_000080_language_prior_confound,lingoqa_eval_000080,unreviewed,language_prior_confound,other,exclude,unreviewed,false,none,false,drop_sft_v1,,,Dropped by conservative v1 policy.,,0.0,0.25,,"Is there any traffic in your lane? If there is, what types of vehicles are present?",data/external/lingoqa/images/val/8127f3b506fa0146a795f0085bb60cd3/0.jpg,"[""data/external/lingoqa/images/val/8127f3b506fa0146a795f0085bb60cd3/0.jpg"", ""data/external/lingoqa/images/val/8127f3b506fa0146a795f0085bb60cd3/1.jpg"", ""data/external/lingoqa/images/val/8127f3b506fa0146a795f0085bb60cd3/2.jpg"", ""data/external/lingoqa/images/val/8127f3b506fa0146a795f0085bb60cd3/3.jpg"", ""data/external/lingoqa/images/val/8127f3b506fa0146a795f0085bb60cd3/4.jpg""]"
lingoqa_eval_000034_positive_grounding,lingoqa_eval_000034,unreviewed,positive_grounding,object_recognition,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.3333,1.0,,"Are there any traffic lights present? If so, what is the color displayed by the lights?",data/external/lingoqa/images/val/e9148b5d1dc3d42ae93cb718d1585aca/0.jpg,"[""data/external/lingoqa/images/val/e9148b5d1dc3d42ae93cb718d1585aca/0.jpg"", ""data/external/lingoqa/images/val/e9148b5d1dc3d42ae93cb718d1585aca/1.jpg"", ""data/external/lingoqa/images/val/e9148b5d1dc3d42ae93cb718d1585aca/2.jpg"", ""data/external/lingoqa/images/val/e9148b5d1dc3d42ae93cb718d1585aca/3.jpg"", ""data/external/lingoqa/images/val/e9148b5d1dc3d42ae93cb718d1585aca/4.jpg""]"
lingoqa_eval_000076_positive_grounding,lingoqa_eval_000076,unreviewed,positive_grounding,reasoning_world_knowledge,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.6,0.6,,Why can you start in this instance?,data/external/lingoqa/images/val/5c95f9353d8c4c8a3b111fc91c8b9c2b/0.jpg,"[""data/external/lingoqa/images/val/5c95f9353d8c4c8a3b111fc91c8b9c2b/0.jpg"", ""data/external/lingoqa/images/val/5c95f9353d8c4c8a3b111fc91c8b9c2b/1.jpg"", ""data/external/lingoqa/images/val/5c95f9353d8c4c8a3b111fc91c8b9c2b/2.jpg"", ""data/external/lingoqa/images/val/5c95f9353d8c4c8a3b111fc91c8b9c2b/3.jpg"", ""data/external/lingoqa/images/val/5c95f9353d8c4c8a3b111fc91c8b9c2b/4.jpg""]"
lingoqa_eval_000054_positive_grounding,lingoqa_eval_000054,unreviewed,positive_grounding,object_recognition,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.5,0.5,,"Are there any traffic lights present? If so, what is the color displayed by the lights?",data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/0.jpg,"[""data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/0.jpg"", ""data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/1.jpg"", ""data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/2.jpg"", ""data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/3.jpg"", ""data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/4.jpg""]"
lingoqa_eval_000002_positive_grounding,lingoqa_eval_000002,unreviewed,positive_grounding,object_recognition,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.1333,0.8,,"Are there any traffic lights on your lane? If yes, what are their color?",data/external/lingoqa/images/val/94dee4a9b5603e9cbac8c2444d6cda6e/0.jpg,"[""data/external/lingoqa/images/val/94dee4a9b5603e9cbac8c2444d6cda6e/0.jpg"", ""data/external/lingoqa/images/val/94dee4a9b5603e9cbac8c2444d6cda6e/1.jpg"", ""data/external/lingoqa/images/val/94dee4a9b5603e9cbac8c2444d6cda6e/2.jpg"", ""data/external/lingoqa/images/val/94dee4a9b5603e9cbac8c2444d6cda6e/3.jpg"", ""data/external/lingoqa/images/val/94dee4a9b5603e9cbac8c2444d6cda6e/4.jpg""]"
lingoqa_eval_000094_all_settings_failed,lingoqa_eval_000094,unreviewed,all_settings_failed,other,manual_review_needed,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,-0.1538,0.0,,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/0.jpg,"[""data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/0.jpg"", ""data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/1.jpg"", ""data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/2.jpg"", ""data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/3.jpg"", ""data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/4.jpg""]"
lingoqa_eval_000073_positive_grounding,lingoqa_eval_000073,unreviewed,positive_grounding,counting,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.4,0.4,,How many cyclists are there?,data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/0.jpg,"[""data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/0.jpg"", ""data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/1.jpg"", ""data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/2.jpg"", ""data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/3.jpg"", ""data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/4.jpg""]"
lingoqa_eval_000056_positive_grounding,lingoqa_eval_000056,unreviewed_positive_manual_review,positive_grounding,reasoning_world_knowledge,positive_visual_grounding,unreviewed,true,normal_vqa_sft,true,keep_sft_v1,"Yes, it is safe to enter with caution because the ego traffic light is green.","The ego-facing traffic signal is green. A pedestrian is visible near the crossing area, so the safe implication is to enter only while continuing to monitor that pedestrian.",Manual image review accepted with grounded rewrite.,,0.2297,0.5,,Is it safe to enter the intersection at this time? Why?,data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg,"[""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/1.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/2.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/3.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/4.jpg""]"
lingoqa_eval_000005_positive_grounding,lingoqa_eval_000005,unreviewed_positive_manual_review,positive_grounding,spatial_localization,positive_visual_grounding,unreviewed,true,normal_vqa_sft,true,keep_sft_v1,"Start moving, because the traffic light for the ego path is green.","The frames show the ego vehicle at an intersection with a green signal ahead and no vehicle blocking the lane, so starting is visually supported.",Manual image review accepted with grounded rewrite.,,0.2381,0.4286,,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg,"[""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/1.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/2.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/3.jpg"", ""data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/4.jpg""]"
lingoqa_eval_000050_all_settings_failed,lingoqa_eval_000050,unreviewed,all_settings_failed,other,manual_review_needed,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,-0.0833,0.0,,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/0.jpg,"[""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/0.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/1.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/2.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/3.jpg"", ""data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/4.jpg""]"
lingoqa_eval_000014_positive_grounding,lingoqa_eval_000014,unreviewed,positive_grounding,object_recognition,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.2857,0.2857,,"Are there any traffic signals? If yes, what is the color displayed?",data/external/lingoqa/images/val/74f8db8cfd196bdaf188f43e2aba689d/0.jpg,"[""data/external/lingoqa/images/val/74f8db8cfd196bdaf188f43e2aba689d/0.jpg"", ""data/external/lingoqa/images/val/74f8db8cfd196bdaf188f43e2aba689d/1.jpg"", ""data/external/lingoqa/images/val/74f8db8cfd196bdaf188f43e2aba689d/2.jpg"", ""data/external/lingoqa/images/val/74f8db8cfd196bdaf188f43e2aba689d/3.jpg"", ""data/external/lingoqa/images/val/74f8db8cfd196bdaf188f43e2aba689d/4.jpg""]"
lingoqa_eval_000039_positive_grounding,lingoqa_eval_000039,unreviewed,positive_grounding,object_recognition,positive_visual_grounding,unreviewed,false,normal_vqa_sft_after_review,true,needs_human_review,,,Not promoted because local image evidence was missing or not reviewed in this pass.,,0.2,0.3333,,"Are there any traffic lights present at this intersection? If so, what is the color displayed?",data/external/lingoqa/images/val/42b2150188e97e7c4d7d790b670f1f74/0.jpg,"[""data/external/lingoqa/images/val/42b2150188e97e7c4d7d790b670f1f74/0.jpg"", ""data/external/lingoqa/images/val/42b2150188e97e7c4d7d790b670f1f74/1.jpg"", ""data/external/lingoqa/images/val/42b2150188e97e7c4d7d790b670f1f74/2.jpg"", ""data/external/lingoqa/images/val/42b2150188e97e7c4d7d790b670f1f74/3.jpg"", ""data/external/lingoqa/images/val/42b2150188e97e7c4d7d790b670f1f74/4.jpg""]"
lingoqa_eval_000001_all_settings_failed,lingoqa_eval_000001,all_settings_failed_manual_promote,all_settings_failed,counting,positive_visual_grounding,unreviewed,true,normal_vqa_sft,true,keep_sft_v1,There are zero cyclists visible.,"The reviewed frames show pedestrians and parked vehicles near the road, but no cyclist is visible in the ego scene.",Manual image review accepted with grounded rewrite.,,0.0,0.0,,How many cyclists are there?,data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/0.jpg,"[""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/0.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/1.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/2.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/3.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/4.jpg""]"
